mp_id,formula,crystal_system,space_group,z_max,n_elements,ahc,theta_sh,theta_sh_source,band_gap,is_magnetic,source
mp-22389,Mn3Sn,hexagonal,194,50,2,200.0,0.35,illustrative_oracle,0.0,True,mp_api
mp-2647022,Pt,hexagonal,194,78,1,0.0,0.08,illustrative_oracle,0.0,False,mp_api
mp-11334,W,cubic,223,74,1,0.0,-0.33,illustrative_oracle,0.0,False,mp_api
mp-42,Ta,tetragonal,113,73,1,0.0,-0.12,illustrative_oracle,0.0,False,mp_api
mp-1186427,Pd,hexagonal,194,46,1,0.0,0.01,illustrative_oracle,0.0,False,mp_api
mp-1008634,Au,hexagonal,194,79,1,0.0,0.11,illustrative_oracle,0.0,False,mp_api
mp-21171,MnGaCo2,cubic,225,31,3,1600.0,0.2,illustrative_oracle,0.0,False,mp_api
mp-20883,Fe3Sn,hexagonal,194,50,2,450.0,0.25,illustrative_oracle,0.0,True,mp_api
mp-2766475,Mn3Ir,monoclinic,11,77,2,0.0,0.18,illustrative_oracle,0.0,True,mp_api
mp-685055,CrTe2,trigonal,164,52,2,320.0,0.4,illustrative_oracle,0.0,False,mp_api
mp-1221545,MnPt,trigonal,166,78,2,150.0,0.15,illustrative_oracle,0.0,True,mp_api
mp-23164,Bi2Se3,orthorhombic,62,83,2,0.0,3.5,illustrative_oracle,0.9577999999999998,False,mp_api
mp-2647032,Ir,hexagonal,194,77,1,0.0,0.05,illustrative_oracle,0.0,False,mp_api
mp-1186916,Rh,hexagonal,194,45,1,0.0,0.03,illustrative_oracle,0.0,False,mp_api
mp-8639,Ru,cubic,225,44,1,0.0,-0.05,illustrative_oracle,0.0,False,mp_api
mp-1181019,Mo,monoclinic,4,42,1,0.0,-0.08,illustrative_oracle,0.0,False,mp_api
mp-2739273,Nb,trigonal,166,41,1,0.0,-0.04,illustrative_oracle,0.0,False,mp_api
mp-1009460,Hf,hexagonal,191,72,1,0.0,-0.15,illustrative_oracle,0.0,False,mp_api
mp-8,Re,hexagonal,194,75,1,0.0,-0.2,illustrative_oracle,0.0,False,mp_api
mp-8643,Os,cubic,225,76,1,0.0,0.06,illustrative_oracle,0.0,False,mp_api
mp-989695,Cu,hexagonal,194,29,1,0.0,0.02,illustrative_oracle,0.0,False,mp_api
mp-124,Ag,cubic,225,47,1,0.0,0.04,illustrative_oracle,0.0,False,mp_api
mp-1182070,Bi,monoclinic,11,83,1,0.0,0.5,illustrative_oracle,0.0,False,mp_api
mp-133,Sb,cubic,221,51,1,0.0,0.25,illustrative_oracle,0.0,False,mp_api
mp-568390,Bi2Te3,trigonal,166,83,2,0.0,2.0,illustrative_oracle,0.0,False,mp_api
mp-1078331,Sb2Te3,monoclinic,12,52,2,0.0,1.5,illustrative_oracle,0.0,False,mp_api
mp-1030319,Te2Mo,trigonal,164,52,2,0.0,0.8,illustrative_oracle,0.5861999999999998,False,mp_api
mp-1019322,Te2W,hexagonal,194,74,2,0.0,1.0,illustrative_oracle,0.9389000000000003,False,mp_api
mp-1078873,Mn3Ge,hexagonal,194,32,2,180.0,0.3,illustrative_oracle,0.0,True,mp_api
mp-1210627,Mn3Ga,tetragonal,139,31,2,220.0,0.28,illustrative_oracle,0.0,True,mp_api
mp-1221634,MnCo2Si,tetragonal,123,27,3,900.0,0.12,illustrative_oracle,0.0,True,mp_api
mp-1224847,FeRh,trigonal,166,45,2,80.0,0.1,illustrative_oracle,0.0,True,mp_api
