p,lam,n_optimizer_steps,n_seeds,step_size,rng_seed,k,n_materials,oracle_mode,oracle_id,best_theta_sh,mean_theta_sh,std_theta_sh,min_theta_sh,max_theta_sh,best_energy,n_evals_best,selected_idx,selected_formulas,greedy_theta_sh,gap_to_greedy,argmax_k,valid_argmax,selected_prob,published_config
1,2.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,0.4095582119824881,0.7119368548638245,1.4443673027516226,-0.451042084616362,3.0493935194101733,-77.66062576437318,300,"[0, 2, 9]","['Mn3Sn', 'W', 'CrTe2']",4.258933977105978,3.84937576512349,2,0,0.025257814660595696,0
1,5.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.5701239650772694,2.2860452178272483,1.9533414457100309,-0.451042084616362,4.258933977105977,-167.0200695445406,300,"[2, 9, 11]","['W', 'CrTe2', 'Bi2Se3']",4.258933977105978,0.6888100120287088,3,1,0.014841110057693173,0
1,6.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,1.9399910371546685,1.6037188584459627,-0.451042084616362,3.0493935194101733,-136.9678550373976,26,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,3,1,0.04713570883957197,1
1,10.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,0.4095582119824881,2.8674806385972165,1.4609429562068041,0.4095582119824881,4.258933977105977,-316.53672575872724,34,"[0, 2, 9]","['Mn3Sn', 'W', 'CrTe2']",4.258933977105978,3.84937576512349,3,1,0.0081471040984194,0
1,20.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,1.5306756757044708,1.5081017231889087,-0.451042084616362,3.0493935194101733,-847.0903390003551,35,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,3,1,0.19241904276535343,0
2,2.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,3.0344763858779977,1.5328858121262676,0.4095582119824881,4.258933977105977,-33.449913702610075,193,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,2,0,0.01804776823863571,0
2,5.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,3.3516665098037053,0.27671529442817444,3.0493935194101733,3.5701239650772694,-215.10166569417873,121,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,3,1,0.1126141143863838,0
2,6.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,3.465235732302144,0.4978161863980368,3.0493935194101733,4.258933977105977,-256.67282171416514,48,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,3,1,0.059290977033519654,1
2,10.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,3.0154079180096836,1.7931703953059799,-0.06034584865097942,4.258933977105977,-345.278921960698,50,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,3,1,0.030963027429548817,0
2,20.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,2.294179065162332,2.1945665430314265,-0.06034584865097942,4.258933977105977,-854.4309090272915,53,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,2,0,0.08739198793112474,0
3,2.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,0.4095582119824881,1.174828673538704,1.089087616970429,0.4095582119824881,3.0493935194101733,-75.88522680548864,300,"[0, 2, 9]","['Mn3Sn', 'W', 'CrTe2']",4.258933977105978,3.84937576512349,2,0,0.02083660736347043,0
3,5.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,-0.451042084616362,0.5690923749211823,2.0696102575796247,-0.451042084616362,4.258933977105977,-229.93418471696606,300,"[2, 3, 4]","['W', 'Ta', 'Pd']",4.258933977105978,4.70997606172234,3,1,0.08029059082066048,0
3,6.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,-0.451042084616362,1.7971465572120267,1.8844545178618617,-0.451042084616362,3.3983336805071276,-257.7430371582209,281,"[2, 3, 4]","['W', 'Ta', 'Pd']",4.258933977105978,4.70997606172234,3,1,0.10710770984121538,1
3,10.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.5701239650772694,3.405612977089479,0.3372391153921673,3.0493935194101733,3.78902991647251,-212.00082769046097,63,"[2, 9, 11]","['W', 'CrTe2', 'Bi2Se3']",4.258933977105978,0.6888100120287088,0,0,0.001757300478303053,0
3,20.0,300,5,0.3,42,3,12,in_sample,c732a02c1736,3.0493935194101733,1.6165130299503958,1.388360138976309,0.4095582119824881,3.179427729111887,-835.5333767525925,92,"[2, 3, 11]","['W', 'Ta', 'Bi2Se3']",4.258933977105978,1.2095404576958049,2,0,0.013059648029861077,0
