p,lam,n_optimizer_steps,seed_idx,energy,selected_theta_sh,oracle_id
1,2.0,300,0,-77.66062576437318,0.4095582119824881,c732a02c1736
1,2.0,300,1,-33.538296813471575,-0.451042084616362,c732a02c1736
1,2.0,300,2,-0.024610845879575294,-0.451042084616362,c732a02c1736
1,2.0,300,3,-64.06280973970584,1.0028167121591849,c732a02c1736
1,2.0,300,4,-57.80799828971961,3.0493935194101733,c732a02c1736
1,5.0,300,0,-167.0200695445406,3.5701239650772694,c732a02c1736
1,5.0,300,1,-94.84336187997508,3.0493935194101733,c732a02c1736
1,5.0,300,2,-14.040174000464582,-0.451042084616362,c732a02c1736
1,5.0,300,3,-117.10983354861222,1.0028167121591849,c732a02c1736
1,5.0,300,4,-165.57136402432914,4.258933977105977,c732a02c1736
1,6.0,300,0,-112.02090278676351,3.0493935194101733,c732a02c1736
1,6.0,300,1,-136.9678550373976,3.0493935194101733,c732a02c1736
1,6.0,300,2,-0.0325189322595989,-0.451042084616362,c732a02c1736
1,6.0,300,3,-117.43841257850116,1.0028167121591849,c732a02c1736
1,6.0,300,4,-0.31429637377318187,3.0493935194101733,c732a02c1736
1,10.0,300,0,-114.05710517912289,3.0493935194101733,c732a02c1736
1,10.0,300,1,-316.53672575872724,0.4095582119824881,c732a02c1736
1,10.0,300,2,-29.25815172458549,3.0493935194101733,c732a02c1736
1,10.0,300,3,-289.0291907601789,3.5701239650772694,c732a02c1736
1,10.0,300,4,-199.9471078067016,4.258933977105977,c732a02c1736
1,20.0,300,0,-231.02793122137797,3.0493935194101733,c732a02c1736
1,20.0,300,1,-847.0903390003551,3.0493935194101733,c732a02c1736
1,20.0,300,2,-0.018684863260816087,1.0028167121591849,c732a02c1736
1,20.0,300,3,-249.86142481242604,1.0028167121591849,c732a02c1736
1,20.0,300,4,-396.5627391509905,-0.451042084616362,c732a02c1736
2,2.0,300,0,-5.746569227094623,3.5701239650772694,c732a02c1736
2,2.0,300,1,-30.532105731555443,0.4095582119824881,c732a02c1736
2,2.0,300,2,-0.6319051272532406,4.258933977105977,c732a02c1736
2,2.0,300,3,-21.496718682316086,3.8843722558140796,c732a02c1736
2,2.0,300,4,-33.449913702610075,3.0493935194101733,c732a02c1736
2,5.0,300,0,-144.1912127735681,3.5701239650772694,c732a02c1736
2,5.0,300,1,-36.019912695211616,3.5701239650772694,c732a02c1736
2,5.0,300,2,-205.25852906450075,3.5192975800436406,c732a02c1736
2,5.0,300,3,-38.24099877615329,3.0493935194101733,c732a02c1736
2,5.0,300,4,-215.10166569417873,3.0493935194101733,c732a02c1736
2,6.0,300,0,-53.963860052347044,3.5701239650772694,c732a02c1736
2,6.0,300,1,-143.8492316281349,3.3983336805071276,c732a02c1736
2,6.0,300,2,-160.8142077354945,3.0493935194101733,c732a02c1736
2,6.0,300,3,-236.80085977360739,4.258933977105977,c732a02c1736
2,6.0,300,4,-256.67282171416514,3.0493935194101733,c732a02c1736
2,10.0,300,0,-276.8589772604514,-0.06034584865097942,c732a02c1736
2,10.0,300,1,-273.7955691609686,3.5701239650772694,c732a02c1736
2,10.0,300,2,-194.713130462436,4.258933977105977,c732a02c1736
2,10.0,300,3,-47.36495935930189,4.258933977105977,c732a02c1736
2,10.0,300,4,-345.278921960698,3.0493935194101733,c732a02c1736
2,20.0,300,0,-320.81753222634404,-0.03602029915948776,c732a02c1736
2,20.0,300,1,-854.4309090272915,3.0493935194101733,c732a02c1736
2,20.0,300,2,-406.3638098221212,4.258933977105977,c732a02c1736
2,20.0,300,3,-354.826795848882,4.258933977105977,c732a02c1736
2,20.0,300,4,-463.4231141712751,-0.06034584865097942,c732a02c1736
