mp_id,csv_formula,canonical_formula,oracle_value,oracle_status,reported_value,uncertainty,measurement_method,sample_or_stack,temperature_K,sign_convention,primary_reference,comparability_note
mp-22389,Mn3Sn,Mn3Sn,0.35,illustrative_oracle,0.053,0.024,spin absorption and inverse spin Hall,nanocrystalline Mn3Sn nanowire,300,as reported,10.1103/PhysRevB.99.184425,Oracle value does not match the cited primary measurement
mp-2647022,Pt,Pt,0.08,illustrative_oracle,,,,,,,,"No row-level primary source identified; retained only to reproduce NB04"
mp-11334,W,W,-0.33,illustrative_oracle,,,,,,,,"Phase thickness method and sign convention are unresolved; retained only to reproduce NB04"
mp-42,Ta,Ta,-0.12,illustrative_oracle,,,,,,,,"Phase thickness method and sign convention are unresolved; retained only to reproduce NB04"
mp-1186427,Pd,Pd,0.01,illustrative_oracle,,,,,,,,"No row-level primary source identified; retained only to reproduce NB04"
mp-1008634,Au,Au,0.11,illustrative_oracle,,,,,,,,"No row-level primary source identified; retained only to reproduce NB04"
mp-21171,MnGaCo2,Co2MnGa,0.20,illustrative_oracle,-0.19,0.04,electrical spin injection and inverse spin Hall,lateral spin valve,300,as reported,10.1103/PhysRevB.103.L041114,Oracle value has the opposite sign to the cited primary measurement
mp-20883,Fe3Sn,Fe3Sn,0.25,illustrative_oracle,,,,,,,,"No row-level primary source identified; retained only to reproduce NB04"
mp-2766475,Mn3Ir,Mn3Ir,0.18,illustrative_oracle,,,,,,,,"No row-level primary source identified; retained only to reproduce NB04"
mp-685055,CrTe2,CrTe2,0.40,illustrative_oracle,,,,,,,,"No row-level primary source identified; retained only to reproduce NB04"
mp-1221545,MnPt,MnPt,0.15,illustrative_oracle,,,,,,,,"No row-level primary source identified; retained only to reproduce NB04"
mp-23164,Bi2Se3,Bi2Se3,3.50,illustrative_oracle,0.0093,0.0013,spin injection and inverse spin Hall,permalloy/Bi2Se3 thin-film device,300,as reported,10.1103/PhysRevB.90.094403,"The oracle value is not interchangeable with this method-specific measurement; MP row is an orthorhombic polymorph"
mp-2647032,Ir,Ir,0.05,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1186916,Rh,Rh,0.03,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-8639,Ru,Ru,-0.05,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1181019,Mo,Mo,-0.08,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-2739273,Nb,Nb,-0.04,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1009460,Hf,Hf,-0.15,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-8,Re,Re,-0.20,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-8643,Os,Os,0.06,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-989695,Cu,Cu,0.02,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-124,Ag,Ag,0.04,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1182070,Bi,Bi,0.50,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-133,Sb,Sb,0.25,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-568390,Bi2Te3,Bi2Te3,2.00,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1078331,Sb2Te3,Sb2Te3,1.50,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1030319,Te2Mo,MoTe2,0.80,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); MP pretty formula Te2Mo; illustrative oracle"
mp-1019322,Te2W,WTe2,1.00,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); MP pretty formula Te2W; illustrative oracle"
mp-1078873,Mn3Ge,Mn3Ge,0.30,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1210627,Mn3Ga,Mn3Ga,0.28,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
mp-1221634,MnCo2Si,Co2MnSi,0.12,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); MP pretty formula MnCo2Si; illustrative oracle"
mp-1224847,FeRh,FeRh,0.10,illustrative_oracle,,,,,,,,"Phase-A expansion (#19); illustrative oracle — not a row-wise literature measurement"
